ID | h0 (m) | A_tank (m²) | A_hole (m²) | Drain time (min)
------------------------------------------------------------
   1 |   0.50 |      0.050 |    0.00030 |            0.88
   2 |   0.55 |      0.052 |    0.00029 |             1.0
   3 |   0.60 |      0.054 |    0.00028 |            1.12
   4 |   0.65 |      0.056 |    0.00027 |            1.25
   5 |   0.70 |      0.058 |    0.00026 |             1.4
   6 |   0.75 |      0.060 |    0.00025 |            1.56
   7 |   0.80 |      0.062 |    0.00024 |            1.73
   8 |   0.85 |      0.064 |    0.00023 |            1.92
   9 |   0.90 |      0.066 |    0.00022 |            2.13
  10 |   0.95 |      0.068 |    0.00021 |            2.37
  11 |   1.00 |      0.070 |    0.00020 |            2.63
  12 |   1.05 |      0.072 |    0.00019 |            2.91
  13 |   1.10 |      0.074 |    0.00018 |            3.24
  14 |   1.15 |      0.076 |    0.00017 |             3.6
  15 |   1.20 |      0.078 |    0.00016 |            4.01
  16 |   1.25 |      0.080 |    0.00015 |            4.48
  17 |   1.30 |      0.082 |    0.00014 |            5.02
  18 |   1.35 |      0.084 |    0.00013 |            5.64
  19 |   1.40 |      0.086 |    0.00012 |            6.38
  20 |   1.45 |      0.088 |    0.00011 |            7.24
  21 |   1.50 |      0.090 |    0.00010 |            8.29
  22 |   1.55 |      0.092 |    0.00009 |            9.57
  23 |   1.60 |      0.094 |    0.00008 |           11.18
  24 |   1.65 |      0.096 |    0.00007 |           13.25
  25 |   1.70 |      0.098 |    0.00006 |           16.02
  26 |   1.75 |      0.100 |    0.00005 |            19.9
  27 |   1.80 |      0.102 |    0.00004 |           25.74
  28 |   1.85 |      0.104 |    0.00003 |           35.47
  29 |   1.90 |      0.106 |    0.00002 |           54.97
  30 |   1.95 |      0.108 |    0.00001 |          113.48
